20200101,"Η κατά σάρκα Περιτομή του Ιησού Χριστού, Βασιλείου αρχιεπισκόπου Καισαρείας του Μεγάλου και Εμμελείας της μητρός αυτού, Αγίου Τηλεμάχου, Γρηγορίου επισκόπου Ναζιανζού, Θεοδότου μάρτυρος, Μαρτύρων Κυράννης και Πέτρου, του εκ Τριπόλεως της Πελοποννήσου, και εν Τεμίσι της Μικράς Ασίας αθλήσαντος, Οσίου Θεοδοσίου, ηγουμένου εν Τριγλία, Αγίου ιερομάρτυρος Πλάτωνος και των συν αυτώ Μιχαήλ και Νικολάου","Βασίλειος (Βασίλης, Βάσος, Βασίλας, Βίλυ, Μπίλλης, Μπίλης), Βασιλική (Βασιλεία, Βασιλίνα, Βάσω, Βάσια, Βίκυ), Τηλέμαχος (Τέλης), Εμμέλεια (Άμυ, Εμμελεία, Έμυ)",,Επίσημη αργία: Πρωτοχρονιά,0,1,https://el.wikipedia.org/wiki/1_%CE%99%CE%B1%CE%BD%CE%BF%CF%85%CE%B1%CF%81%CE%AF%CE%BF%CF%85
20200102,"Προεόρτια των Φώτων, Σιλβέστρου πάπα Ρώμης, Κοσμά Α΄ αρχιεπισκόπου Κωνσταντινουπόλεως του θαυματουργού, Ιερομάρτυρος Θεαγένους, επισκόπου Παρίου, Μαρτύρων Βασιλείου του εξ Αγκύρας, Θεοπέμπτου, Θεοπίστου, Σεργίου, Ισιδώρου, Νεομάρτυρος Γεωργίου του Ίβηρος, του εν Μυτιλήνη, Οσίου Σεραφείμ του Σάρωφ, Οσίων Θεοδότης (μητρός αγ. Αναργύρων), Μάρκου του κωφού, Σιλβέστρου και Νείλου, Δικαίων Σειριόλου και Ιουλιανής","Σίλβεστρος (Σιλβέστρης, Σίλβης, Συλβέστρος), Σιλβέστρα (Σίλβα), Σεραφείμ, Σεραφειμία (Σεραφείμα, Σεραφειμή, Σεραφίνα)",,,0,2,https://el.wikipedia.org/wiki/2_%CE%99%CE%B1%CE%BD%CE%BF%CF%85%CE%B1%CF%81%CE%AF%CE%BF%CF%85
20200103,"Προεόρτια των Φώτων, Μαλαχίου προφήτου, Μαρτύρων Γόρδιου του κόμητος, του Οσίου Ακακίου, του εν τω Λάτρω, Οσίων Θωμαΐδος της Λεσβίας, Γενεβιέβης εκ Παρισίων, Παντελεήμονος, Μελίτωνος εκ Βηρυτού και Πέτρου του «σημειοφόρου», Ευθυμίου, του ανθρώπου του Θεού",Γενοβέφα (Γενεβιέβη),,,0,2,https://el.wikipedia.org/wiki/3_%CE%99%CE%B1%CE%BD%CE%BF%CF%85%CE%B1%CF%81%CE%AF%CE%BF%CF%85
20200104,"Σύναξις των Εβδομήκοντα Αποστόλων, Αγίων Έξι Μαρτύρων, Οσιομαρτύρων Θεοκτίστου ηγουμένου μονής Κουκουμίου, Ονουφρίου, του εκ Βουλγάρων και εν Χίω αθλήσαντος, Ευθυμίου ηγουμένου «Βατοπεδίου» και των συν αυτώ 12 Μοναχών, Μαρτύρων Χρυσάνθου και Ευφημίας, Οσίων Απολλιναρίας της συγκλητικής, Αθανασίου του Κομενταρησίου, Ζωσίμου του ομολογητού, Μιχαήλ του Συγκέλλου, Ευθυμίου του νέου, Τιμοθέου του Στυλίτου, Αχιλλίου του διακόνου, Συμεών, Ευαγρίου και Σίου, Θεοπρόβου και Φίλωνος επισκόπου Καρπασίας, Ευσταθίου, Αρχιεπισκόπου Σερβίας, Οσίου Νικηφόρου του λεπρού, Η εύρεσις των τιμίων λειψάνων του Αγίου νεομάρτυρος Ιωάννου εκ Κονίτσης","Ονούφριος, Ονουφρία",,,0,2,https://el.wikipedia.org/wiki/4_%CE%99%CE%B1%CE%BD%CE%BF%CF%85%CE%B1%CF%81%CE%AF%CE%BF%CF%85
20200105,"Παραμονή Θεοφανίων, Μικρός Αγιασμός, Θεοπέμπτου επισκόπου και Θεωνά, Θεόειδος και Σάις, Οσίων Γρηγορίου «του εν τω Ακρίτα», Δομνίνας, Συγκλητικής, Τατιανής και Φωστηρίου, Οσιομάρτυρος Ρωμανού του από Καρπενησίου του εν Βυζαντίω, Θεοφάνους του εγκλείστου, Οσίου Δωροθέου","Θεόπεμπτος, Θεόπεμπτη, Θεωνάς, Θεώνη, Συγκλητική",,,3,3,https://el.wikipedia.org/wiki/5_%CE%99%CE%B1%CE%BD%CE%BF%CF%85%CE%B1%CF%81%CE%AF%CE%BF%CF%85
20200106,"Τα Άγια Θεοφάνεια του Σωτήρος Χριστού, Μέγας Αγιασμός, Οσίου Ευαγρίου, Οσιομάρτυρος Γεωργίου του Πέρσου, Μάρτυρος Άσσαντ του Ράπτου, Ιερομαρτύρων Ρωμανού του Λακεδαίμονος και Ανδρέου και των συν αυτώ, Οσίων Νικολάου και Σεργίου εκ Ρωσίας","Θεοφάνης (Φάνης), Θεοφανία (Θεανώ, Θεοφανώ, Φανή, Φανή, Φάνια, Φένια), Θεόπη (Θεοπούλα), Ιορδάνης (Γιορντανής, Δάνης, Ντάνης), Ιορδανία (Γιορντάνα, Δάνα, Ιορδάνα, Ντάνα), Ουρανία (Ράνια), Περιστέρα, Φώτιος (Φωτεινός, Φώτης, Φώτις), Φωτεινή (Φαίη, Φώτα, Φωτή, Φωτίκα, Φωτίκω, Φώτω, Φώφη, Φωφώ)",,Επίσημη αργία: Θεοφάνεια,0,3,https://el.wikipedia.org/wiki/6_%CE%99%CE%B1%CE%BD%CE%BF%CF%85%CE%B1%CF%81%CE%AF%CE%BF%CF%85
20200107,"Σύναξη του Προφήτου Προδρόμου και Βαπτιστού Ιωάννου, Ιερομάρτυρος Ρωμανού του εκ Δημινίτσης Λακεδαίμονος, Νεομάρτυρος Αθανασίου του εκ Σπάρτης Ατταλείας, Μάρτυρος Ιουλιανού του εξ Αιγίνης και της δι' αυτού πιστευσάσης μάρτυρος γυναικός, Αγίου Σεντ Επισκόπου Σκωτίας, Αγίου Θεοδώρου του Πρίγκηπος","Ιωάννης (Γιάνης, Γιάννης, Γιαννιός, Γιάννος, Γιάνναρος, Γιανναράς, Γιάνγκος, Γιανγκούλας, Γιάγκος, Ζανής, Ζαννέτος, Τζαννής, Τζανής), Ιωάννα (Βάνα, Βάννα, Γιάννα, Γιανγκούλα, Ιβάνα, Ζαννέτα, Ζανέτ), Ροδιανός (Ρόδης, Ροδινός, Ροδίνης, Ροδίων), Ροδιανή (Ροδάνθη, Ροδή, Ροδιάνα, Ροδία, Ροζάνθη), Σεντ",,,2,3,https://el.wikipedia.org/wiki/7_%CE%99%CE%B1%CE%BD%CE%BF%CF%85%CE%B1%CF%81%CE%AF%CE%BF%CF%85
20200108,"Αττικού και Κύρου, πατριαρχών Κωνσταντινουπόλεως, Ιερομάρτυρος Καρτερίου, Μαρτύρων Μακαρίου του Μακρή, Αβώ, Αντωνίου, Ιουλιανού, Βασιλίσσης και των συν αυτοίς, Ελλαδίου και Θεοφίλου διακόνου, Κελσίου, Παρθένας, Οσίων Ησαΐου, Αγάθωνος, Σεβερίνου, Γεωργίου και Ιωάννου των «Χοζεβιτών», Θεοδώρου, κτίτορος και ηγουμένου της εν Κωνσταντινουπόλει Μονής της Χώρας, Μακαρίου του Μάκρη, ηγουμένου της εν Κωνσταντινουπόλει ιεράς Μονής Παντοκράτορος, Προφήτου Σαμέα του Ελαμίτου, Παρθενομαρτύρων Νεολλίνας και Δομνίνης, Γρηγορίου, επισκόπου Μοισίας, Γρηγορίου Εγκλείστου, Ισιδώρου και των συν αυτώ μαρτύρων, Παϊσίου Ρωσίας","Βασίλισσα, Κέλσιος, Κέλσια (Ελσα, Ελση, Κέλσα, Κέλση, Τσέλση), Παρθένιος (Παρθένης), Παρθενία (Νόπη, Παρθένα, Παρθενόπη), Αγάθων (Αγάθωνας), Αγαθή (Αγαθία, Αγαθώ), Δομίνικος (Δομνίνος), Δομινίκη (Δόμνα, Δομνίκα, Δομνίκη)",,,4,3,https://el.wikipedia.org/wiki/8_%CE%99%CE%B1%CE%BD%CE%BF%CF%85%CE%B1%CF%81%CE%AF%CE%BF%CF%85
20200109,"Ιερομάρτυρος Θεοκτίστου του ομολογητού, Μαρτύρων Πολυεύκτου και Λαυρεντίου, Νεομάρτυρος Κυράννης (Κυρήνης) εκ Βυσώκας (Όσσας) Θεσσαλονίκης, Οσίων Αντωνίνης της εν Νικομήδεια, Ευστρατίου του θαυματουργού, Ιωνά του Γέροντος, Πέτρου, επισκόπου Σεβαστείας, Παρθένας της Εδεσσαίας, Φιλίππου Μόσχας, Βασιλείου και Γρηγορίου Θαυματουργών, Αδριανού εξ Αγγλίας, Αγίου Βριθγουόνλντου (Brithwald), Μνήμη του Μεγάλου Σεισμού","Θεόκτιστος, Θεοκτίστη",,,0,4,https://el.wikipedia.org/wiki/9_%CE%99%CE%B1%CE%BD%CE%BF%CF%85%CE%B1%CF%81%CE%AF%CE%BF%CF%85
20200110,"Γρηγορίου επισκόπου Νύσσης, Δομετιανού επισκόπου Μελιτινής, Μαρκιανού πρεσβυτέρου και οικονόμου της Μεγάλης Εκκλησίας και Αμμωνίου, Θεοσεβίας της διακονίσσης, Οσίων Παύλου και Μακαρίου εκ Ρωσίας, Αντίπα Αθωνίτου, Θεοφάνους του Ερημίτου","Γρηγόριος (Γόλης, Γρηγόρης), Γρηγορία, Δομετιανός",,,4,4,https://el.wikipedia.org/wiki/10_%CE%99%CE%B1%CE%BD%CE%BF%CF%85%CE%B1%CF%81%CE%AF%CE%BF%CF%85
